Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Gross Sales,Kenkere House,Class Packages,Studio 10 Single Class Package,,50976,11328,53808,50976,,61006,,10384,23364,,11682,12980,,,,,,,,,,,286504,Gross Sales,1
Gross Sales,Kenkere House,Class Packages,Studio 12 Class Package,24338,95138,39825,169625,67850,86004,52669,64003,36002,162675,63337,,13334,40002,26668,53336,133340,36002,24668,,,,,1188815,Gross Sales,2
Gross Sales,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,19800,,,,,,,19800,Gross Sales,3
Gross Sales,Kenkere House,Class Packages,Studio 4 Class Package,5251,15753,,5251,10502,19116,23895,23895,9558,9558,32497,23895,4779,28674,19116,19116,23895,32975,13381,,,,,321108,Gross Sales,4
Gross Sales,Kenkere House,Class Packages,Studio 8 Class Package,109203,158173,84228,48970,56805,67703,102218,75668,68145,101775,92483,50445,42480,7965,44250,90270,141600,50976,7788,,,,,1401144,Gross Sales,5
Gross Sales,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,4248,8496,2832,5381,24072,1298,3894,,,,,,,,,,,,,,,,,50221,Gross Sales,6
Gross Sales,Kenkere House,Others,Others,284,,,,2000,,,,,,,,,,,,,,,,,,,2284,Gross Sales,7
Gross Sales,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Gross Sales,8
Gross Sales,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,4632,,,,,,,,,,,,,4632,Gross Sales,9
Gross Sales,Kenkere House,Retail,Retail,19631,9588,17319,17184,18231,10503,19579,39366,23355,21193,12363,28125,17961,6359,11867,11674,30920,20119,618,,,,,335957,Gross Sales,10
Gross Sales,Kenkere House,Sessions/Single Classes,Session,88736,26762,38232,21240,14160,,6490,25217,16874,14278,5490,1298,16874,25960,23364,24662,20768,16874,,,,,,387279,Gross Sales,11
Gross Sales,Kenkere House,Sessions/Single Classes,Studio Single Class,42197,60605,65136,74765,101669,51920,59448,40238,66198,69832,80476,63602,54516,64900,79178,73726,83072,45430,1298,,,,,1178206,Gross Sales,12
Gross Sales,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,256691,158279,71349,167300,336241,153574,113843,173439,204765,84046,220046,116475,147205,162486,294410,128443,45843,42787,26895,,,,,2904118,Gross Sales,13
Gross Sales,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,16992,40769,13570,22066,28001,36934,6785,7788,23364,29146,53513,22361,78647,30149,22361,21358,43689,74635,13570,,,,,585698,Gross Sales,14
Gross Sales,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,37949,71154,265642,151795,40321,167477,189514,196125,118997,132219,39666,39666,116793,246809,114590,74924,44073,37462,38784,,,,,2123959,Gross Sales,15
Gross Sales,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,69296,,78535,,85668,68534,,,,,,64251,64251,,,,,,,,,,430535,Gross Sales,16
Gross Sales,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,22066,,,,,,,,,,,,,,,,,,,,,,22066,Gross Sales,17
Gross Sales,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,175584,,,,,,,,,,,,,,133104,,133104,133104,,,,,574896,Gross Sales,18
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,143370,106200,99120,47790,63720,183136,31388,90860,90860,74340,,14868,14868,16520,,,,,,13216,,27140,,1017396,Gross Sales,19
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,129409,391586,295687,161607,151839,62921,123390,76812,281917,130744,93155,197750,153624,271294,107047,114401,81715,101327,120938,81715,81715,74361,28600,3313553,Gross Sales,20
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,31860,63720,,63720,62460,59472,29736,57820,143724,29736,33040,,59472,29736,29736,115640,92512,59472,118944,117292,59472,142308,27612,1427484,Gross Sales,21
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,45135,84960,,135405,45135,44604,,,220542,,,,44604,82364,44604,,89208,44604,,,,42126,,923291,Gross Sales,22
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,44081,37878,82069,44191,37878,75933,23364,35046,40887,104665,87615,17523,64251,52569,52569,46728,64251,40887,11682,52569,58410,68924,11682,1155652,Gross Sales,23
Gross Sales,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,106319,65832,93881,60180,92677,120903,139759,77644,166380,175808,241806,77644,119017,195219,144196,133104,144196,55460,42150,99828,122012,141978,31058,2647050,Gross Sales,24
Gross Sales,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,11092,,,11092,Gross Sales,25
Gross Sales,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,5310,10620,1770,1770,,,3304,1652,14868,,,,,,,,,,,,,,39294,Gross Sales,26
Gross Sales,"Kwality House, Kemps Corner",Others,Others,6193,6882,387,505,1575,96,40,968,348,1098,1724,1137,6418,1985,,1848,1043,,,,,,,32247,Gross Sales,27
Gross Sales,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,2,Gross Sales,28
Gross Sales,"Kwality House, Kemps Corner",Privates,Studio Private Class,7021,303850,5900,171100,126200,165200,,274350,85550,247800,224200,5900,129800,366980,241900,193602,283200,82600,147500,106200,230100,201780,,3600733,Gross Sales,29
Gross Sales,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,53100,,153990,5310,,95580,,,,,,,122130,,10538,95580,26550,10620,95580,31860,,138060,838898,Gross Sales,30
Gross Sales,"Kwality House, Kemps Corner",Retail,Retail,94273,40978,20903,54052,41779,21517,37258,26926,47002,26831,33214,14580,40971,33672,16448,22790,50962,29330,34086,39134,15122,45038,2684,789548,Gross Sales,31
Gross Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,67969,49560,66552,33630,47790,49828,50408,99089,51212,49558,29736,54516,51212,29736,42904,24450,9912,,1652,31388,22562,14160,,877824,Gross Sales,32
Gross Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,70540,66906,59772,54370,54520,61124,42352,50516,55686,97138,81998,56168,57820,94164,108702,100111,148267,97468,39648,37996,26432,54575,23010,1539282,Gross Sales,33
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,317612,540663,177251,475068,262727,307715,269881,243818,463057,373293,442235,268170,244658,543965,262314,351404,324530,309396,396834,302670,147972,280870,45401,7351502,Gross Sales,34
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,19057,30090,20060,40120,79237,52805,26178,18054,9027,27081,72216,54162,36108,18054,43778,18054,54162,27081,9027,18054,46020,33394,16700,768519,Gross Sales,35
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,297714,481113,189921,300281,366921,282315,90049,224146,702234,260411,138724,260411,163061,290363,90049,194700,154008,297356,287994,98973,128989,498919,165495,5964143,Gross Sales,36
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,17110,17110,,17110,49560,32450,32450,,,,,16225,32450,16225,16225,,,16225,,32450,,,,295590,Gross Sales,37
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,242136,408605,257270,242136,252225,573480,81243,76464,162486,,,248508,152928,617022,253287,75000,,181602,,172044,75000,80801,,4152236,Gross Sales,38
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,451785,150000,,301785,600384,,,140715,,,,,150096,,,150096,827404,,,,230192,,3002457,Gross Sales,39
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,31270,,14072,14072,14072,,14075,,,,,,129774,Gross Sales,40
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,237180,189390,127440,127440,47790,269748,74340,174286,386568,133812,44604,223020,,,,,,,,,,,,2035618,Gross Sales,41
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,336533,270825,237971,65708,120761,120938,164247,165064,137281,109988,118487,305614,217198,,,,,,,,,,,2370616,Gross Sales,42
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,63720,95580,147028,62776,28084,118944,29736,29736,,,,,,,,,,,,,575604,Gross Sales,43
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Gross Sales,44
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,12626,44191,18939,31565,37878,35046,39719,32710,29205,52569,29205,52569,17523,,,,,,,,,,,433744,Gross Sales,45
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,31294,51755,10832,21665,24072,58233,64334,62670,126449,171926,44368,64112,159281,,,,,,,,,,,890990,Gross Sales,46
